Teste-or-2-minW-3-sigma-0.85: 0.200252 , interval: 0.010416
Teste-or-2-minW-3-sigma-0.75: 0.048911 , interval: 0.004629
Teste-or-2-minW-3-sigma-0.65: 0.179025 , interval: 0.011662
Teste-or-2-minW-3-sigma-0.55: 0.602445 , interval: 0.014495
Teste-or-2-minW-4-sigma-0.85: 0.203018 , interval: 0.010869
Teste-or-2-minW-4-sigma-0.75: 0.193833 , interval: 0.014592
Teste-or-2-minW-4-sigma-0.65: 0.419719 , interval: 0.014867
Teste-or-2-minW-4-sigma-0.55: 0.658174 , interval: 0.011887
Teste-or-2-minW-5-sigma-0.85: 0.308899 , interval: 0.017453
Teste-or-2-minW-5-sigma-0.75: 0.366554 , interval: 0.018150
Teste-or-2-minW-5-sigma-0.65: 0.542391 , interval: 0.013279
Teste-or-2-minW-5-sigma-0.55: 0.691561 , interval: 0.010939
Teste-or-2-minW-6-sigma-0.85: 0.418578 , interval: 0.019810
Teste-or-2-minW-6-sigma-0.75: 0.500359 , interval: 0.016852
Teste-or-2-minW-6-sigma-0.65: 0.610724 , interval: 0.011672
Teste-or-2-minW-6-sigma-0.55: 0.703738 , interval: 0.010949
Teste-or-2-minW-7-sigma-0.85: 0.491997 , interval: 0.018190
Teste-or-2-minW-7-sigma-0.75: 0.558956 , interval: 0.013648
Teste-or-2-minW-7-sigma-0.65: 0.661941 , interval: 0.012197
Teste-or-2-minW-7-sigma-0.55: 0.710232 , interval: 0.011050
Teste-or-2-minW-8-sigma-0.85: 0.535693 , interval: 0.014850
Teste-or-2-minW-8-sigma-0.75: 0.584493 , interval: 0.012153
Teste-or-2-minW-8-sigma-0.65: 0.710197 , interval: 0.012128
Teste-or-2-minW-8-sigma-0.55: 0.704362 , interval: 0.011322
Teste-or-2-minW-9-sigma-0.85: 0.539902 , interval: 0.013075
Teste-or-2-minW-9-sigma-0.75: 0.615498 , interval: 0.011315
Teste-or-2-minW-9-sigma-0.65: 0.717189 , interval: 0.010989
Teste-or-2-minW-9-sigma-0.55: 0.705874 , interval: 0.010837
Teste-or-2-minW-10-sigma-0.85: 0.545321 , interval: 0.011291
Teste-or-2-minW-10-sigma-0.75: 0.632088 , interval: 0.011137
Teste-or-2-minW-10-sigma-0.65: 0.689564 , interval: 0.010181
Teste-or-2-minW-10-sigma-0.55: 0.706837 , interval: 0.010982

******** Variando mult
Teste-or-2-mult-1.5-sigma-0.65: 0.643121 , interval: 0.012450
Teste-or-2-mult-1.7-sigma-0.65: 0.672499 , interval: 0.011647
Teste-or-2-mult-1.9-sigma-0.65: 0.711479 , interval: 0.011261
Teste-or-2-mult-2.3-sigma-0.65: 0.646052 , interval: 0.009152
Teste-or-2-mult-2.5-sigma-0.65: 0.620077 , interval: 0.010765
Teste-or-2-mult-2.7-sigma-0.65: 0.642134 , interval: 0.011997

******** Variando Sigma

Teste-or-2-mult-2.1-sigma-0.59: 0.731392 , interval: 0.009996
Teste-or-2-mult-2.1-sigma-0.61: 0.727604 , interval: 0.010548
Teste-or-2-mult-2.1-sigma-0.63: 0.720202 , interval: 0.010528
Teste-or-2-mult-2.1-sigma-0.67: 0.708436 , interval: 0.011257
Teste-or-2-mult-2.1-sigma-0.69: 0.697848 , interval: 0.011897
Teste-or-2-mult-2.1-sigma-0.71: 0.683030 , interval: 0.012237

******** 4 orientações
Teste-or-4-minW-3-sigma-0.85: 0.171039 , interval: 0.009312
Teste-or-4-minW-3-sigma-0.75: 0.077778 , interval: 0.008190
Teste-or-4-minW-3-sigma-0.65: 0.393465 , interval: 0.016664
Teste-or-4-minW-3-sigma-0.55: 0.650237 , interval: 0.013441
Teste-or-4-minW-4-sigma-0.85: 0.232333 , interval: 0.013307
Teste-or-4-minW-4-sigma-0.75: 0.319426 , interval: 0.019801
Teste-or-4-minW-4-sigma-0.65: 0.568905 , interval: 0.015399
Teste-or-4-minW-4-sigma-0.55: 0.676558 , interval: 0.012412
Teste-or-4-minW-5-sigma-0.85: 0.362143 , interval: 0.020209
Teste-or-4-minW-5-sigma-0.75: 0.473812 , interval: 0.018425
Teste-or-4-minW-5-sigma-0.65: 0.646977 , interval: 0.012009
Teste-or-4-minW-5-sigma-0.55: 0.681891 , interval: 0.012634
Teste-or-4-minW-6-sigma-0.85: 0.463432 , interval: 0.019536
Teste-or-4-minW-6-sigma-0.75: 0.569810 , interval: 0.015485
